Frequency	#Barcodes
1	12213087 
2	1503161 
3	618247 
4	406383 
5	326956 
6	289501 
7	269944 
8	256024 
9	244608 
10	233276 
11	221012 
12	209199 
13	194753 
14	180935 
15	166889 
16	152987 
17	140195 
18	127309 
19	114731 
20	104053 
21	93902 
22	84030 
23	76401 
24	68691 
25	62209 
26	56324 
27	51112 
28	46669 
29	42319 
30	38945 
31	35754 
32	32884 
33	30656 
34	28592 
35	26412 
36	24559 
37	23086 
38	21737 
39	20417 
40	19244 
41	17960 
42	17083 
43	16299 
44	15321 
45	14464 
46	13481 
47	12899 
48	12034 
49	11516 
50	10838 
51	10268 
52	9429 
53	9080 
54	8550 
55	8150 
56	7591 
57	7217 
58	6652 
59	6185 
60	5911 
61	5613 
62	5262 
63	4883 
64	4718 
65	4418 
66	4143 
67	4026 
68	3686 
69	3478 
70	3292 
71	3080 
72	2948 
73	2819 
74	2676 
75	2534 
76	2376 
77	2383 
78	999 
