M3,M4,M5,M6,M7
1.25,1.25,1.25,1.25,1.25
1.25,1.289958818,1.412740294,1.201449871,1.199078612
0.887302658,1.281132217,1.382298036,1.339959748,1.190476207
1.041623849,1.475594277,1.343812201,1.143264552,1.142629386
1.052558863,1.410973139,1.30972619,1.250766558,1.234157272
0.884919868,1.383419654,1.216993011,1.41622911,1.314665181
0.840049379,1.418128671,1.301268625,1.290518949,1.286581814
0.866407742,1.383428621,1.38975865,1.316995603,1.35714181
0.833175888,1.295924841,1.374995677,1.42053563,1.35714181
0.878562248,1.295924841,1.376448781,1.43322885,1.116664833
0.815377284,1.255547426,1.389560499,1.43322885,1.261422671
0.820341021,1.372612584,1.47582652,1.396938344,1.254110211
0.838730502,1.517436196,1.498679322,1.527527295,1.37268172
0.763455249,1.375736593,1.371943657,1.455398451,1.449791937
0.874942513,1.520660696,1.417176026,1.322321699,1.620624891
0.970927394,1.528454732,1.430750587,1.440140056,1.620624891
1.055963298,1.528454732,1.407959789,1.454915271,1.598969431
1.104276298,1.485765737,1.546634363,1.489856026,1.4690026
1.104276298,1.462055373,1.630109761,1.489856026,1.560941747
1.214453705,1.391889727,1.624133854,1.489856026,1.430863023
1.251643119,1.487384713,1.624133854,1.559773758,1.425968964
1.305558157,1.339824797,1.643462674,1.46687787,1.358535928
1.240884945,1.249819923,1.604917859,1.410264127,1.387620384
1.179669984,1.249819923,1.486830703,1.414046092,1.382392351
1.185178988,1.097879157,1.396961719,1.285532245,1.517601434
1.185178988,1.097879157,1.435386004,1.101895019,1.513885159
1.075473951,1.055267387,1.169151253,1.196332287,1.66865204
1.144216932,1.055267387,1.216185824,1.344260896,1.687000923
0.992374697,1.104958153,1.216185824,1.267715851,1.667514329
0.986086757,1.104958153,1.220150884,1.267715851,1.486956814
0.930838143,1.06025802,1.193994012,1.376127222,1.486956814
0.930838143,1.115810622,1.196092065,1.447656561,1.356921279
0.903275866,0.950942316,1.233214661,1.447656561,1.356921279
0.903517232,1.119579513,1.507611669,1.41718558,1.27281804
0.864678988,1.100918585,1.550974282,1.457963364,1.463907991
0.994207878,1.244076084,1.530183336,1.401319633,1.537474052
0.910818784,1.246148776,1.465584479,1.522722023,1.569840074
0.894807783,1.246148776,1.511020262,1.324320844,1.500291878
0.803715096,1.233474886,1.616159775,1.466202952,1.583580691
0.863470267,1.233474886,1.616159775,1.490044344,1.556948148
0.863470267,1.230855435,1.486783204,1.51215701,1.579035479
0.810269128,1.27613413,1.40298427,1.467341826,1.579035479
0.895468862,1.352638629,1.291619933,1.533819588,1.465556737
0.886089715,1.341330796,1.316683451,1.56096345,1.523815894
0.944838148,1.341330796,1.362669826,1.530983088,1.543970386
0.80877105,1.311506541,1.284490161,1.603368639,1.628308517
0.871723367,1.267209409,1.284490161,1.603368639,1.514771507
1.005591258,1.206003452,1.216761795,1.589575736,1.658240486
0.929636782,1.234464299,1.326386459,1.574522302,1.730618206
0.926646027,1.283833162,1.403439262,1.40966474,1.702593363
0.750496148,1.223418394,1.431370917,1.368434955,1.65916673
0.851879157,1.144373178,1.387108669,1.488918244,1.62609995
0.681639324,1.144373178,1.197334573,1.614409155,1.499767918
0.774624789,1.3321207,1.101295406,1.614409155,1.291011578
0.846624648,1.361609407,1.12600136,1.677125739,1.291011578
0.956861471,1.331878315,1.12600136,1.677125739,1.217671279
0.915853231,1.334888539,1.152525981,1.519801849,1.217671279
0.926799486,1.334888539,1.19913738,1.476105061,1.40505577
1.139092467,1.409406129,1.207682182,1.526297133,1.209420183
1.294161888,1.429118488,1.314325055,1.625836194,1.244003012
1.340144854,1.429118488,1.284031474,1.548015565,1.244003012
1.220942368,1.479299094,1.27689089,1.542061246,1.185511249
1.230861256,1.476077189,1.169533432,1.540869414,1.185511249
1.230861256,1.566494731,1.333855485,1.489529126,1.242014718
1.096338843,1.538873675,1.546184705,1.351879814,1.333762197
1.074568859,1.662737252,1.575842265,1.336067481,1.366635984
1.074568859,1.741489472,1.535429762,1.364184839,1.385807838
1.070859775,1.719783243,1.572857926,1.413770927,1.325980137
1.070859775,1.764196908,1.554598333,1.391152486,1.361420863
1.055021375,1.695070121,1.525815765,1.542347495,1.361420863
1.120019543,1.684610186,1.586566641,1.535170889,1.311024526
1.320375979,1.641689099,1.450197993,1.588292679,1.198144493
1.259394245,1.532672675,1.498922318,1.588292679,1.32071859
1.259394245,1.486392753,1.403652457,1.404893788,1.203936533
1.036106349,1.547778998,1.369953155,1.479858929,1.358114925
0.967965354,1.605383603,1.387434646,1.360578051,1.406867896
0.975297098,1.678245119,1.470447712,1.327872515,1.430797003
