Identifier,CellLine,Netgr_wodrug,Replicate,Time_Days,Time_Hours,TotalCells,SequencingLane_Num,SequencingLane_Sample,Comments
BTR2ID0,Baf3,0.055,1,0,0,38,23,1,fake counts added for now. Will update with real data later
BTR2I_D6_A,Baf3,0.055,1,6,144,123767,23,2,
BTR2L_D6_A,Baf3,0.055,1,6,144,123767,23,3,
BTR2M_D6_A,Baf3,0.055,1,6,144,123767,23,4,
BTR2H_D6_A,Baf3,0.055,1,6,144,123767,23,5,
BTR2I_D6_B,Baf3,0.055,2,6,144,123767,23,6,
BTR2L_D6_B,Baf3,0.055,2,6,144,123767,23,7,
BTR2M_D6_B,Baf3,0.055,2,6,144,123767,23,8,
BTR2H_D6_B,Baf3,0.055,2,6,144,123767,23,9,
BTR3ID0,Baf3,0.055,1,0,0,38,23,10,
BTR3I_D6_A,Baf3,0.055,1,6,144,123767,23,11,
BTR3L_D6_A,Baf3,0.055,1,6,144,123767,23,12,
BTR3M_D6_A,Baf3,0.055,1,6,144,123767,23,13,
BTR3H_D6_A,Baf3,0.055,1,6,144,123767,23,14,
BTR3I_D6_B,Baf3,0.055,2,6,144,123767,23,15,
BTR3L_D6_B,Baf3,0.055,2,6,144,123767,23,16,
BTR3M_D6_B,Baf3,0.055,2,6,144,123767,23,17,
BTR3H_D6_B,Baf3,0.055,2,6,144,123767,23,18,
BTR4ID0,Baf3,0.055,1,0,0,38,23,19,
BTR4ID0,Baf3,0.055,1,0,0,38,19_20b,9,
BTR4I_D6_A,Baf3,0.055,1,6,144,123767,23,20,
BTR4L_D6_A,Baf3,0.055,1,6,144,123767,23,21,
BTR4M_D6_A,Baf3,0.055,1,6,144,123767,23,22,
BTR4H_D6_A,Baf3,0.055,1,6,144,123767,23,23,
BTR4I_D6_B,Baf3,0.055,2,6,144,123767,23,24,
BTR4L_D6_B,Baf3,0.055,2,6,144,123767,23,25,
BTR4M_D6_B,Baf3,0.055,2,6,144,123767,23,26,
BTR4H_D6_B,Baf3,0.055,2,6,144,123767,23,27,
