Identifier,CellLine,Netgr_wodrug,Replicate,Time_Days,Time_Hours,TotalCells,SequencingLane_Num,SequencingLane_Sample,skip_flag,Comments
BTRID0,Baf3,0.055,1,0,0,38,18,1,FALSE,this is the BaF3 D0 background sample. This sample was low sequencing depth of coverage
BTRID0_FT,Baf3,0.055,1,0,0,38,18,10,FALSE,including the freeze thawed library here because it got better depths than the D0 sample 1
BTRI1_D6,Baf3,0.055,1,6,144,123767,18,2,FALSE,
BTRI2_D6,Baf3,0.055,2,6,144,94619,18,3,FALSE,
BTRLD0,Baf3,0.055,1,0,0,54,18,1,FALSE,
BTRLD0_FT,Baf3,0.055,1,0,0,54,18,10,FALSE,
BTRL1_D6,Baf3,0.055,1,6,144,25546,18,4,FALSE,
BTRL2_D6,Baf3,0.055,2,6,144,22471,18,5,FALSE,
BTRMD0,Baf3,0.055,1,0,0,89,18,1,FALSE,
BTRMD0_FT,Baf3,0.055,1,0,0,89,18,10,FALSE,
BTRM1_D6,Baf3,0.055,1,6,144,17450,18,6,FALSE,
BTRM2_D6,Baf3,0.055,2,6,144,21659,18,7,FALSE,
BTRHD0,Baf3,0.055,1,0,0,89,18,1,FALSE,
BTRHD0_FT,Baf3,0.055,1,0,0,89,18,10,FALSE,
BTRH1_D6,Baf3,0.055,1,6,144,5775,18,8,FALSE,
BTRH2_D6,Baf3,0.055,2,6,144,6240,18,9,FALSE,
KTRLD0,K562,0.028,1,0,0,100,18,11,FALSE,
KTRLD0_FT,K562,0.028,1,0,0,100,18,12,FALSE,
KTRL1_D6,K562,0.028,1,6,144,2436,18,13,FALSE,
KTRL2_D6,K562,0.028,2,6,144,2452,18,14,FALSE,
KTRMD0,K562,0.028,1,0,0,200,18,11,FALSE,
KTRMD0_FT,K562,0.028,1,0,0,200,18,12,FALSE,
KTRM1_D6,K562,0.028,1,6,144,756,18,15,FALSE,
KTRM2_D6,K562,0.028,2,6,144,849,18,16,FALSE,
KTRHD0,K562,0.028,1,0,0,200,18,11,FALSE,
KTRHD0_FT,K562,0.028,1,0,0,200,18,12,FALSE,
KTRH1_D6,K562,0.028,1,6,144,307,18,17,FALSE,
KTRH2_D6,K562,0.028,2,6,144,491,18,18,FALSE,
